sentence1,sentence2,similarity,cosine_similarity
"Marc Garber, Whitley's attorney, had a different view.","Whitley's attorney, Marc Garber, called the ruling ""a huge victory.""",0,1.0
"Shares of LendingTree soared $5.99, or 40.1 percent, to $20.68 in afternoon trading on the Nasdaq Stock Market.","Shares of LendingTree rose $6.21, or 42 percent, to $20.90 after hitting $21.36 earlier.",0,1.0
"Nationally, the federal Centers for Disease Control and Prevention recorded 4,156 cases of West Nile, including 284 deaths.","There were 293 human cases of West Nile in Indiana in 2002, including 11 deaths statewide.",0,1.0
"By Sunday night, the fires had blackened 277,000 acres, hundreds of miles apart.","Major fires had burned 264,000 acres by early last night.",0,1.0
"The two-year note US2YT=RR fell 5/32 in price, taking its yield to 1.23 percent from 1.16 percent late on Monday.","The benchmark 10-year note US10YT=RR lost 11/32 in price, taking its yield to 3.21 percent from 3.17 percent late on Monday.",0,1.0
"Shares in BA were down 1.5 percent at 168 pence by 1420 GMT, off a low of 164p, in a slightly stronger overall London market.","Shares in BA were down three percent at 165-1/4 pence by 0933 GMT, off a low of 164 pence, in a stronger market.",0,1.0
"For the entire season, the average five-day forecast track error was 259 miles, Franklin said.","""The average track error for the five-day (forecast) is 323 nautical miles.",0,1.0
"The Dow Jones Industrial Average fell 0.7 per cent to 9,547.43 while the S&P 500 was 0.8 per cent weaker at 1,025.79.","The Dow Jones industrial average <.DJI> fell 44 points, or 0.46 percent, to 9,568.",0,1.0
"Shares of Halliburton fell 71 cents, or 3 percent, to close at $21.59 yesterday on the New York Stock Exchange.","Halliburton shares fell 54 cents, or 2.4 percent, to $21.76 a share in midday New York Stock Exchange trade.",0,1.0
John Hickenlooper had 65 percent of the vote to 35 percent for City Auditor Don Mares.,"Hickenlooper clobbered city Auditor Don Mares, 46, in the Tuesday runoff.",0,1.0
"The Nasdaq composite index advanced 20.59, or 1.3 percent, to 1,616.50, after gaining 5.7 percent last week.","The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.",0,1.0
The company said it would cut the wholesale price of most top-line CDs to $9.09 from $12.02.,The company also said it would cut wholesale prices on cassettes and change the suggested retail price to $8.98.,0,1.0
"In September, Hewlett-Packard signed a development and marketing deal with the company.",Four months later it signed a joint marketing agreement with Hewlett-Packard Co.,0,1.0
"The commission dropped charges that Patton improperly appointed Conner to the Kentucky Lottery Board and that he improperly appointed Conner's then-husband, Seth, to the Agriculture Development Board.","Patton also appointed Conner to the Kentucky Lottery Board and appointed Seth Conner to the Agriculture Development Board, the commission says.",0,1.0
Greece votes in crucial election,Greece looks set for repeat election,0,1.0
1 person killed in sectarian clashes in Lebanon,Nine killed in Syrian-linked clashes in Lebanon,0,1.0
Israeli Leader Puts Off Evicting Settlers From Hebron House,Israeli army orders settlers out of Hebron house,0,1.0
At least 15 killed in Nigeria church attack,At least 12 killed in Nigeria church bombing,0,1.0
US drone strike kills 8 militants,US drone strike kills four in NWA: officials,0,1.0
Obama endorses same-sex marriage,Obama's delicate dance on same-sex marriage,0,1.0
Barack Obama's personal evolution on same-sex marriage,Obama backs same-sex marriage,0,1.0
Romney rocked by secret video,Romney taped at secret donor talk,0,1.0
Egyptians vote to pick president for first time,Egyptians wait for key presidential vote results,0,1.0
"Romney, Obama clash on tax, economy in first debate",Obama and Romney take stage for first debate,0,1.0
Roadside bomb kills 10 Afghan civilians: police,Roadside bomb kills 5 Afghan policemen,0,1.0
Remarks by the President at the White House Science Fair,The Presidential Planner - The White House Science Fair,0,1.0
China's CPI growth slows to 1.8 pct in July,China's industrial output growth slows to 9.2 pct in July,0,1.0
"Gaza militants fire 40 rockets into Israel, 3 hurt: police",Gazans fire four rockets into Israel; no injuries,0,1.0
Suicide bomber hits funeral in Iraq,Suicide bomber strikes in Syria,0,1.0
Nelson Mandela taken to hospital,Nelson Mandela released from hospital,0,1.0
"Today in History, April 23","Today in History, Jan. 21",0,1.0
32 die in Bangladesh protest,1 Killed in Bangladesh Protest,0,1.0
"The Note's Must-Reads for Monday, November 25, 2013","The Note's Must-Reads for Tuesday, October 8, 2013",0,1.0
US confirms al-Qaeda leader has been captured,US captures al-Qaeda leader but fails in Somalia attack,0,1.0
"The Note's Must-Reads for Friday, December 6, 2013","The Note's Must-Reads for Friday, July 12, 2013",0,1.0
North Korea Nuclear Test Sparks Worry,North Korea nuclear test,0,1.0
Stocks close 0.39% higher,Stocks close 2.47% higher,0,1.0
Hospital: 61 killed in Venezuela prison riot,Dozens reported killed in Venezuela prison riot,0,1.0
Queen pays tribute to Nelson Mandela,US presidents pay tribute to Mandela,0,1.0
Singapore stocks end up 0.11 pct,Singapore stocks close 0.54 pct higher,0,1.0
Floods leave six dead in Philippines,Heavy rains leave 18 dead in Philippines,0,1.0
New Japan govt hints at joining Pacific trade pact: Report,"Japan, US hold talks linked to regional trade pact",0,1.0
"Nicaragua, Venezuela offer asylum to Snowden",Bolivia's Morales says he would grant asylum to Snowden if asked,0,1.0
Chinese shares close lower on Wednesday,China stocks close lower on Friday,0,1.0
One dead in US building collapse,Six killed in US building collapse,0,1.0
Chinese shares close higher on Tuesday,Chinese shares close lower on Wednesday,0,1.0
UN Chemical Weapons Experts to Visit Syria,US Says Chemical Weapons Used in Syria,0,1.0
Syria opposition unity take face specter of collapse,Syria divided opposition struggles within wider Syrian struggle,0,1.0
"4 killed, 6 injured in attacks in Iraq","43 killed, 86 wounded in attacks in Iraq",0,1.0
"Boy, 14, arrested for sex attacks around a university campus",Two teenagers arrested after string of sex attacks on Manchester University campus,0,1.0
Bombings kill 9 people in Iraqi capital,Bombings kill 19 people in Iraq,0,1.0
10 Things to Know for Wednesday,10 Things to Know for Thursday,0,1.0
New UN peacekeeping chief named for Central African Republic,UN takes over peacekeeping in Central African Republic,0,1.0
Scientists prove there is water on Mars,Has Nasa discovered water on Mars?,0,1.0
An animal is biting a persons finger.,A slow loris is biting a persons finger.,1,0.0
One man is breaking cement on another man's chest.,A man breaks cinder blocks on another man.,1,0.0
A turtle walks over the ground.,A large turtle crawls in the grass.,1,0.0
A man and woman are eating at a table.,A couple are eating a meal and talking.,1,0.0
A girl is playing a flute.,A girl plays a wind instrument.,1,0.0
A woman puts cosmetics on her eyelid.,The woman is pencilling on eye shadow.,1,0.0
A woman and man are riding in a car.,A woman driving a car is talking to the man seated beside her.,1,0.0
The lady cut the tail and body of a shrimp.,A woman is cleaning a shrimp.,1,0.0
The man is hiking in the woods.,A man is tracking in the wood.,1,0.0
A man is eating a pizza.,A man is eating a food.,1,0.0
A woman is slicing a big pepper.,A person is cutting a green pepper.,1,0.0
A guy is riding a horse.,A man is riding a horse in the desert.,1,0.0
A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.,1,0.0
A baby eats his food.,A baby is being fed peas.,1,0.0
A man is playing a guitar and singing on a stage.,A man is playing the electric guitar.,1,0.0
A person is chopping an herb.,A man is finely chopping a green substance.,1,0.0
Someone drew on Washington's face on the dollar.,A person draws on a dollar bill.,1,0.0
A black and wood colored dining room set in a small apartment.,Black and brown table in living room setting.,1,0.0
One Asian and one occasion woman in glasses smiling with their thumbs up.,Two women are posing for the camera and giving the thumbs up sign.,1,0.0
A Das Air Cargo plane sits on the runway.,A passenger plane parked on a runway.,1,0.0
A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.,A motorcycle is parked by a mural of a city in the evening.,1,0.0
Four children looking at barn animals.,Children looking a sheep.,1,0.0
Train going down the tracks.,A black steam train traveling on the railroad tracks.,1,0.0
A group of people eat at a table outside.,A group of people sitting at a restaurant table.,1,0.0
Two cats are close together inside and black and white furry enclosure.,"Two baby kittens are sitting inside a cow-schemed, fur-covered dome.",1,0.0
"A long-haired man with a hat standing between two large, half-empty Coke bottles.",A man with a cap and jacket walking between two large bottles.,1,0.0
An AeroMexico jet taxing along a runway.,A silver AreoMexico Jet Liner sitting on the tarmac.,1,0.0
A man with glasses and two plastic bottles in the foreground.,A man talking with two water bottles sitting in front of him.,1,0.0
A white bicycle stands on a floor.,Old style bicycle parked on floor.,1,0.0
"A young woman with outstretched arms stands in front of a ""Going Places"" bus.",TThe girl is standing in front of the open door of the bus.,1,0.0
German Shephard jumping through black hoop while people watch,A dog jumps through a hoop.,1,0.0
a skateboard performs a trick off a quarter pipe.,A skateboarder attempts to do a trick over a homemade ramp.,1,0.0
Two dogs are playing on the beach together.,Two black dogs are playing in a grass.,1,0.0
A dog jogs through the grass.,a dog trots through the grass.,1,0.0
A person wearing scuba gear is swimming underwater water.,A person is scuba diving in very clear blue water.,1,0.0
A black person in black and red is sleeping on a bench with an open black umbrella.,A man sitting up taking a nap on a park bench with an open umbrella protecting him from the sun.,1,0.0
Some cyclists stop near a sign.,Two men stop to talk near a sign outside.,1,0.0
These cooks in the white are busy in the kitchen making dinner for their customers.,The women are preparing dinner in their kitchen.,1,0.0
Four girls happily walk down a sidewalk.,Three young girls walk down a sidewalk.,1,0.0
A person sitting in an office takes a picture.,A woman is sitting in an office.,1,0.0
The man is in a deserted field.,The man is outside in the field.,1,0.0
A group of people playing soccer on a soccer field in front of a crowd.,A group of men playing soccer in a stadium full of people.,1,0.0
A young boy has a red fishing pole.,A young boy stands over a bridge with a fishing pole.,1,0.0
Two fishermen try to untangle their large fishing net on the side of the road on a cloudy day.,Several men pull a fishing net up on to the beach.,1,0.0
A crowd of men wearing paper numbers on their shirts run in a race.,Several men running down a grass field wearing numbers on the front of their shirts.,1,0.0
A man doing a jumping bike trick surrounded by trees.,A boy riding a green trick bike over some steps outdoors.,1,0.0
A motorcross driver going by during a race,A race car driver performs in the race of his life.,1,0.0
the man is catching a ball,A man is kicking a ball.,1,0.0
You'll need to check the particular policies of each publisher to see what is allowed and what is not allowed.,If you need to publish the book and you have found one publisher that allows it.,1,0.0
It is perfectly okay to ask for the figure knowing well that the other person may not give.,"You can always ask, then it is the choice of the author to accept or not.",1,0.0
"The short answer is: we are made from the ""stuff"" contributed by many stars.",It is highly unlikely that we're made out of stuff from only one star.,1,0.0
All we know is this : Distant objects are receding from us at a rate proportional to their distance from us.,The expansion of space means that objects in cosmological distances are receding away from each other.,1,0.0
According to this website the peak visible magnitude will be about 10.5 around February 2nd.,"The AAVSO data seems to indicate that it might have already peaked, at around 10.5 (visual).",1,0.0
"As per your definition, a star formed in a binary system (hence near some gravitating body) is a generalised planet.","The main flaw with your definition of a ""generalised planet"" would be the boundary between stars and planets.",1,0.0
I've never adjusted the length of time based on number of eggs.,I don't boil eggs enough to keep a feel for the timing...,1,0.0
"Certainly many usage guides have advised against use of this ""singular they"" on various ""logical"" grounds.","Second one (for writing purpose), if I believe the ""THEY/THEIR (SINGULAR)"" article.",1,0.0
"Yes, your sentence will be clearer if you write the actual word instead of the slash.","Most style guides recommend against using the slash in phrases like â€œX and/or Yâ€, as well as â€œthis is hard/impossible to doâ€.",1,0.0
There are a lot of push up variations you can do and they all stress different muscle systems.,There are several different pushup variations out there and most of them provide a unique advantage.,1,0.0
I've noticed a remarkable difference when I run on the treadmill vs when I run on the road.,A treadmill won't prepare you for the impact of running for real.,1,0.0
"Yes, you can add coffee grounds with their filters to your compost pile.",Absolutely ok; we have incorporated coffee grounds into our plant food and many of those grounds included the paper filter.,1,0.0
"Simple answer is yes, flower shoots on lettuce is a sure sign of bolting.",It appears as though it has likely started to bolt.,1,0.0
This looks a lot like an invitation to a No True Scottsman argument.,"I concur with @T.E.D; the question is a ""no True Scotsman"" bar bet.",1,0.0
Preserving grammaticality and preserving meaning of the sentence are two different things.,"In fact, you can remove pretty much and preserve grammaticality if you don't care about preserving meaning.",1,0.0
"A tent may give you slightly more protection than sleeping out in the open, but not much.","No, a tent will not give you any protection from bears that want what's inside.",1,0.0
A few points to add here: Coyotes are not know to be aggressive towards humans.,In general they are not considered dangerous because they rarely attack humans.,1,0.0
GPS (wikipedia) is based on orbiting satellites and so is accurate worldwide.,"GPS systems can, and do, work everywhere you can get satellites.",1,0.0
It would be unusual for a snake to attack a stationary person.,"I'm no herpetologist, but in my experience, snakes are in the ""you don't bug me, I won't bug you"" category.",1,0.0
"Once you open it up to toxins, the answer is clearly no, boiling is not enough.",Boiling eliminates only a certain class of contaminants that can make you ill.,1,0.0
"My experience with Danios has that they always have been ""bossy"" fish.","Breed Zebra Danios are extremely hardy fish, they are almost difficult to kill.",1,0.0
"It does sound like your cat is upset about something, and trying to communicate it to you.",Something is bothering your cat and he does not like it.,1,0.0
Try switching to rats; weanling rats if you need something smaller.,"As mentioned in previous answers, rats and gerbils can be offered instead of mice or in a rotation with mice.",1,0.0
You should take this animal to a vet right away.,"As covered in the other answers, your only option is to see a vet in order to have surgery done.",1,0.0
There are a few things to help your bun gain a bit of weight.,John Cavan has some reasonable and appropriate methods for increasing a rabbits weight in his answer.,1,0.0
Well for one a being could have a non-physical existance and yet not even be in your mind.,"The difference is huge, as not all non-physical things exist in minds.",1,0.0
Fast Picture Viewer has an extensive pack for the low price of $9.99 and it appears to cover them all.,Fast Picture Viewer is $9.99 and works just fine on 64-bit Windows 7 (I'm using it myself).,1,0.0
There are many compact cameras with underwater housings available from Canon and Olympus.,"There are waterproof compacts that go to 10 meters, such as some of the Olympus Tough models.",1,0.0
According to Shia Muslims specially Iran state and Hezbollah a country called Israel does not exist.,"As with the definition of Palestine, the definition of Israel varies depending on whom you ask.",1,0.0
"Before you want to start the study of a subject, figure out what you want to achieve.","As Eugene suggests, try to figure out what you want to achieve.",1,0.0
"As others have mentioned, the iRobot Roomba is an excellent example of a household robot which does meaningful work.",I've been happy with the iRobot Roomba for floor cleaning.,1,0.0
I'd start by reading David Allen's book: Getting Things Done.,I'm considering spending the $48 per month on the GTD (Getting things done) system advertised by David Allen.,1,0.0
"Currently I've got a fairly close to purely digital GTD setup, although this could do with some refinements and tweaks.",My GTD system is effectively 100 percent electronic--as described in detail here.,1,0.0
"Yes, absolutely - the receiving player must allow the ball to bounce before returning the serve - or any shot, actually.","Yes, the receiver needs to wait until the ball touches his playing area, otherwise it counts as being obstructed.",1,0.0
"Yes, dew (wetness in the environment) factor can change the direction of a match.",Another disadvantage of the dew factor is that it makes hitting boundaries difficult.,1,0.0
"No, there is no specific criteria for giving the man of the match award.","As per the rules, MoM award is decide by the commentry pannel.",1,0.0
"There is nothing wrong with the phrase ""simple sample service"".","The minimal change needed to avoid disconcerting alliteration is to just call it a ""simple example service"".",1,0.0
"Yes, this is OK, as it allows you to emphasise certain things, that you want the readers to notice.",I believe this is perfectly acceptable and does a good job of emphasising your point.,1,0.0
"We just addressed this recently, and the excellent answer suggested was guillemets.","guillemets, as suggested by Lauren Ipsum, is a good option.",1,0.0
"The villains I absolutely hate are selfish and self-serving, but they are also cowards.","A villain you want to take down is, at his/her core, someone who does not care about the suffering of others.",1,0.0
"In these days of googling, it's sloppy to not find the source of a quotation.","I agree with Kate Sherwood, you should be able to attribute most quotes these days by simple fact checking.",1,0.0
The budget analysis comes as negotiations between the City Council and the Bloomberg administration heat up.,Budget negotiations between the mayor and the City Council are entering high gear.,1,0.0
"Lord Falconer hailed the changes as ""a new beginning as far as the courts, Crown Prosecution Service and police are concerned"".","""It's a new beginning as far as the courts, Crown Prosecution Service and police are concerned, making the criminal justice system work better.""",1,0.0
"""I started crying and yelling at him, 'What do you mean, what are you saying, why did you lie to me?'""","Gulping for air, I started crying and yelling at him, 'What do you mean?",1,0.0
It was the third time in four years that wildfires forced the park to close.,"For the third time in four years wildfires closed Mesa Verde National Park, the countryâ€™s only park dedicated to ancient ruins.",1,0.0
North American markets finished mixed in directionless trading Monday as earnings season begins to slow and economic indicators move into the spotlight.,"North American markets grabbed early gains Monday morning, as earnings season begins to slow and economic indicators take the spotlight.",1,0.0
"""I know of no pressure,"" said Mr. Feith, the under secretary of defense for policy.","""I know of nobody who pressured anybody,"" Douglas Feith, undersecretary of defense for policy, said at a Pentagon briefing.",1,0.0
"Mr. Bush had sought to store his papers in his father's presidential library, where they would have stayed secret for a half-century.","In Texas, public watchdog groups opposed Mr. Bush's efforts to house his papers at his father's presidential library, where they would have remained secret for a half-century.",1,0.0
Protesters had been calling for an end to the country's hard-line establishment and for supreme leader Khamenei's death.,"The protesters denounced the country's supreme leader, hard-liner Ayatollah Ali Khamenei.",1,0.0
He claims it may seem unrealistic only because little effort has been devoted to the concept.,"""This proposal is modest compared with the space programme, and may seem unrealistic only because little effort has been devoted to it.",1,0.0
"The pound also made progress against the dollar, reached fresh three-year highs at $1.6789.","The British pound flexed its muscle against the dollar, last up 1 percent at $1.6672.",1,0.0
"""I do not wish to be present during this witness,"" he told Stanislaus County Superior Court Judge Al Girolami.","""Yes, I do not wish to be present during this witness,"" Peterson, 31, calmly told the judge as he was returned to his cell.",1,0.0
"Tenet has been under scrutiny since November, when former Chief Executive Jeffrey Barbakow said the company used aggressive pricing to trigger higher payments for the sickest Medicare patients.","In November, Jeffrey Brabakow, the chief executive at the time, said the company used aggressive pricing to get higher payments for the sickest Medicare patients.",1,0.0
Dotson was arrested Monday in his native Maryland and charged with murder.,"Dotson, 21, was subsequently charged with Dennehy's murder.",1,0.0
The effort is the Bush administration's latest effort to expand the role of religious organizations in government services.,July 10 - The Bush administration's latest effort to expand the role of religious organizations in government services enlists church-based youth groups in anti-drug programs.,1,0.0
"A former candidate for governor of New York, he styled himself an advocate of better corporate governance.","Mr. McCall, who ran unsuccessfully for governor of New York in 2002, styled himself an advocate of better corporate governance.",1,0.0
Artists are worried the plan would harm those who need help most - performers who have a difficult time lining up shows.,The artists say the plan will harm French culture and punish those who need help most - performers who have a hard time lining up work.,1,0.0
"The time was about 4 a.m. on March 18, just hours before the first pinpoint missiles rained down on the capital.","The seizure occurred at 4am on March 18, just hours before the first American air assault.",1,0.0
"Justices said that the Constitution allows the government to administer drugs only ""in limited circumstances.""","In a 6-3 ruling, the justices said such anti-psychotic drugs can be used only in ""limited circumstances.""",1,0.0
The veteran Malyasian diplomat met Suu Kyi Wednesday at the lakeside home in Yangon where she is under house arrest.,"Razali Ismail met for 90 minutes with Suu Kyi, a 1991 winner of the Nobel Peace Prize, at her lakeside home, where she is under house arrest.",1,0.0
"About 25 governments have signed in the last four months, about half of those in the last three weeks.","According to the State Department list, about 25 nations have signed bilateral agreements in the past four months, about half in the past three weeks.",1,0.0
"The company will launch 800 hot spots, or ""Wi-Fi Zones,"" later this summer, and plans to have more than 2,100 by the end of the year.","The service will launch later this summer with 800 locations, and Sprint plans 2,100 locations by the end of the year.",1,0.0
"The identical rovers will act as robotic geologists, searching for evidence of past water.","The rovers act as robotic geologists, moving on six wheels.",1,0.0
"I've still got a fighting chance, though,"" Hewitt said after battling to overcome Davydenko 6-3 4-6 6-3 7-6 (7-5) on centre court.","""I'm still not red-hot favourite,"" Hewitt said after battling to down Davydenko 6-3 4-6 6-3 7-6 (7-5) on centre court.",1,0.0
"The woman felt threatened and went to the magistrate's office, police said.",The woman reported that she felt threatened and obtained a warrant for Stackhouse's arrest from the local magistrate's office.,1,0.0
Higher courts have ruled that the tablets broke the constitutional separation of church and state.,The federal courts have ruled that the monument violates the constitutional ban against state-established religion.,1,0.0
"In two weeks, he'll probably send out Peace Rules in the Preakness.",Frankel said Peace Rules will run in the Preakness Stakes on May 17.,1,0.0
U.S. District Judge Edmund Sargus ruled that the Akron-based company should have determined that changes at one of its plants would increase overall pollution emissions.,"FirstEnergy Corp. should have determined that modernizing one of its plants would increase overall pollution emissions, U.S. District Judge Edmund Sargus ruled Thursday.",1,0.0
"""They were tossed around like feathers,"" Gordon said.","""The concrete barriers (between lanes) were being tossed around like feathers.""",1,0.0
The author is one of several defense experts expected to testify.,Spitz is expected to testify later for the defense.,1,0.0
"The Winston-Salem, North Carolina company opened six stores during the quarter, bringing the total to 282.","Six new Krispy Kreme stores were opened in the first quarter, bringing the total number of stores to 282.",1,0.0
"""The European Union is basically absent,"" said Tito Barbini, regional minister for agriculture in Tuscany, Italy.","Tito Barbini, a regional minister for agriculture in Tuscany, Italy, criticized the absence Tuesday in Sacramento.",1,0.0
"""It was a little bit embarrassing the way we played in the first two games,"" Thomas said.","""We're in the Stanley Cup finals, and it was a little bit embarrassing the way we played in the first two games.",1,0.0
"Nine seconds later, it broke the sound barrier and continued its steep powered ascent.","Nine seconds later, SpaceShipOne broke the sound barrier, the company said.",1,0.0
"Gartner's report said global WLAN equipment shipments reached 19.5 million last year, a 120 percent increase over 2001's 8.9 million units.","Total shipments reached 19.5 million units last year, compared with 8.9 million units in 2001.",1,0.0
"But JT was careful to clarify that it was ""not certain about the outcome of the discussion at this moment"".","""However, we are not certain about the outcome of the discussion at this moment.""",1,0.0
The blaze then spread to several surrounding structures on the property and destroyed them.,The fire spread to several surrounding structures on the property and destroyed them as deputies held back firefighters.,1,0.0
"Announcing the selection, Kmart CEO Julian Day said Grey will help the retailer ""find creative ways to communicate the unique strengths of Kmart to the new America consumer.""","Together, we will find creative ways to communicate the unique strengths of Kmart to the 'new America' consumer.""",1,0.0
Consumers would still have to get a descrambling security card from their cable operator to plug into the set.,"To watch pay television, consumers would insert into the set a security card provided by their cable service.",1,0.0
"While waiting for a bomb squad to arrive, the bomb exploded, killing Wells.",The bomb exploded while authorities waited for a bomb squad to arrive.,1,0.0
Kaichen appeared Wednesday in federal court on two bank robbery charges.,"She appeared in federal court Wednesday, but did not enter a plea.",1,0.0
"An incremental step reported by researchers at the University of California, San Francisco, is the latest in a decade-long effort.","The incremental step, reported by researchers at UC San Francisco, is the latest in a decade-long effort to infect mice with the virus.",1,0.0
Aiken's study appears in the Sept. 24 issue of the Journal of the American Medical Association.,The findings appear in Wednesday's Journal of the American Medical Association.,1,0.0
"Crohn's disease causes inflammation of the intestine and symptoms include diarrhea, pain, weight loss and tiredness.","Symptoms include chronic diarrhoea, abdominal pain, weight loss and extreme tiredness.",1,0.0
"Authorities identified the tipster as Richard Powell, who is imprisoned for killing his landlady in 1982.",Powell is serving time in a different case -- killing his landlady in 1982.,1,0.0
Colorado shooting suspect was in therapy,Lawyers: Colo. shooting suspect is mentally ill,1,0.0
Suspicious object found in Tel Aviv not explosive device,Police treat suspicious object at Tel Aviv bus station,1,0.0
