sentence1,sentence2,similarity,jaccard_similarity
Four girls in swimsuits are playing volleyball at the beach.,Four women in bikinis are playing volleyball on the beach.,1,1.0
The group of hikers is resting in front of a mountain.,Several hikers rest with their gear in front of a mountain.,1,1.0
A young boy jumping into a lake.,The boy is jumping into a lake.,1,1.0
A man and a woman on a bench.,A man and woman sit on a park bench.,1,1.0
The man and two young boys jump on a trampoline.,A man and two boys are bouncing on a trampoline.,1,1.0
A man practicing boxing,A man practices boxing,1,1.0
A group of people stand in the sand looking out at the water.,A group of people are standing on the beach in front of some boats.,1,1.0
A small white dog running across a lawn.,A small white dog running,1,1.0
The white and brown dog is running quickly through the grass.,The big white dog is running in the grass.,1,1.0
A black dog is running in the grass.,The black dog is running through the grass.,1,1.0
A black and white dog swimming in clear water.,A small black and white dog is swimming in water.,1,1.0
a wet black dog with a red collar is in the river,A black dog with a red collar wading through the water.,1,1.0
Two people walking along the shore at sunset.,Two people walking along the beach at sunset towarn a group of people.,1,1.0
A black dog is running through the snow.,The black and brown dog is running through the snow.,1,1.0
A white dog is running through the water at a beach,A white dog is running through the water onto the shore.,1,1.0
A man and woman blow bubbles.,A man and a woman in glasses blow bubbles.,1,1.0
Two people in snowsuits laying in the snow making snow angels,Two children lying in the snow making snow angels,1,1.0
A little blonde girl is standing in front of a water fountain.,A young girl standing in front of a fountain,1,1.0
A boy riding on a swing.,A young boy riding in a swing.,1,1.0
A black dog walking beside a pool.,A black dog is walking along the side of a pool.,1,1.0
A man and a woman are riding bikes on a street.,A man and woman are riding bicycles across a junction in the city.,1,1.0
Three dogs playing in the snow.,Three dogs run in the snow.,1,1.0
Several people are sitting around a fire at night.,A group of people sit around a blazing fire at night.,1,1.0
Two dogs fighting in the snow.,Two dogs play in the snow.,1,1.0
A man helps a boy ride a bike.,The man helps the boy ride a bike.,1,1.0
The two dogs are playing fetch in the snow.,The dogs play in the snow.,1,1.0
Two dogs are playing on the beach together.,Two black dogs are playing in a grass.,1,1.0
A seated young woman in a hat is reading at a coffee shop.,a woman enjoying her reading at a coffee shop,1,1.0
A black and white dog is running through the grass.,The black and white dog is running on the grass.,1,1.0
Black and white dog running through water.,A tan and white dog runs through water.,1,1.0
Two beige dogs play in the grass.,two tan dogs play in the grass,1,1.0
A dog jogs through the grass.,a dog trots through the grass.,1,1.0
There is a black dog jumping into a swimming pool.,A black dog is leaping into a swimming pool.,1,1.0
Three dogs playing in the snow while one dog wears a jacket.,"Three dogs playing in the snow, with a city in the background.",1,1.0
A person wearing scuba gear is swimming underwater water.,A person is scuba diving in very clear blue water.,1,1.0
a young girl smiling with her head upside down,A girl poses with her head upside down.,1,1.0
Two brown dogs chase each other in the snow.,Two brown dogs are playing with each other in the snow.,1,1.0
Children are playing on a trampoline in the snow.,Several children and jumping on a trampoline in the snow.,1,1.0
Two black dogs playing in the grass.,Two dogs play in the grass.,1,1.0
Two boys are jumping into a pool.,Two boys are in midair jumping into an inground pool.,1,1.0
A Golden Retriever jumping off a wood porch.,A golden retriever is jumping off a wooden porch,1,1.0
Woman in black dress with red accessories is walking down the street.,Woman in a black dress walking on the street.,1,1.0
Two dogs approach each other in the grass.,Two dogs face off of each other on the grass.,1,1.0
There are dogs in the forest.,The dogs are alone in the forest.,1,1.0
These cooks in the white are busy in the kitchen making dinner for their customers.,The women are preparing dinner in their kitchen.,1,1.0
A girl dancing on a sandy beach.,A girl is on a sandy beach.,1,1.0
A sad man is jumping over a small stream to meet his companion on the other side.,A man is jumping over a stream to meet his companion on the other side.,1,1.0
A woman is bungee jumping.,A girl is bungee jumping.,1,1.0
Four girls happily walk down a sidewalk.,Three young girls walk down a sidewalk.,1,1.0
A man playing the violin in the rain.,A man playing the guitar in the rain.,1,1.0
The dogs are chasing a cat.,The dogs are chasing a black cat.,1,1.0
A person sitting in an office takes a picture.,A woman is sitting in an office.,1,1.0
A blonde woman looks for medical supplies for work in a suitcase.,The blond woman is searching for medical supplies in a suitcase.,1,1.0
A boy is at school taking a test.,The boy is taking a test at school.,1,1.0
man on steps,A man sits on steps.,1,1.0
A woman paints a picture of a large building which can be seen in the background.,A person paints a picture of a large building which can be seen in the background.,1,1.0
Two kids are playing a game of Foosball.,The kids are playing a game with each other.,1,1.0
The man is in a deserted field.,The man is outside in the field.,1,1.0
A little boy is drinking from a juice packet.,A boy is drinking from a juice packet.,1,1.0
The biker is doing dangerous stunts.,A biker is doing stunts.,1,1.0
A group of people playing soccer on a soccer field in front of a crowd.,A group of men playing soccer in a stadium full of people.,1,1.0
A man is enjoying watching three asian children dance.,A man is watching three asian kids dance.,1,1.0
A young boy has a red fishing pole.,A young boy stands over a bridge with a fishing pole.,1,1.0
A man at a farmers market.,A man is at a farmers market.,1,1.0
The child would like to swim.,The children want to swim.,1,1.0
A dog is chasing cows.,A white dog is chasing cows.,1,1.0
A lady and her daughter look through a microscope.,A girl and a lady both looking through a microscope.,1,1.0
Three humans are walking a dog.,Three people are walking a dog.,1,1.0
There are people out on the street.,People are out on the street.,1,1.0
A crowd of men wearing paper numbers on their shirts run in a race.,Several men running down a grass field wearing numbers on the front of their shirts.,1,1.0
A doctor prescribes medicine to a patient.,A doctor prescribes a medicine.,1,1.0
A woman is in the bathroom.,The woman is in a bathroom.,1,1.0
The man and woman are resting on a couch.,A man and woman are asleep on the couch.,1,1.0
People are near water,People are near water.,1,1.0
The religious people are enjoying the outdoors.,The group of people are enjoying the outdoors.,1,1.0
A girl in water without goggles or a swimming cap.,"A girl in water, with goggles and swimming cap.",1,1.0
A woman jumps and poses for the camera.,A woman poses for the camera.,1,1.0
The two men are wearing jeans.,The two men are wearing pants.,1,1.0
The man without a shirt is jumping.,The man jumping is not wearing a shirt.,1,1.0
A man walks his dog on the beach.,A man with his dog on the beach.,1,1.0
A soccer player is kicking the ball.,The soccer player gave the ball a high kick.,1,1.0
the man is catching a ball,A man is kicking a ball.,1,1.0
Two men are sitting in the room.,Two men are standing in a room.,1,1.0
The woman is waiting for her date.,The woman is on her way to a date.,1,1.0
My opinion is to wait for the child to ask for it.,My opinion is to wait until the child itself expresses a desire for this.,1,1.0
You are safe to use the bottles as long as they have been properly sterilised.,I would say it's completely safe so long as the bottles have been adequately rinsed to remove any detergent residue.,1,1.0
I don't think that positivism is a position of mostly leftist philosophers.,I am not convinced that positivism is routinely asociated to a leftist ideology.,1,1.0
Federal DOMA does not test the full faith and credit clause so much as the 9th and 10th Amendments to the Constitution.,DOMA as a congressional statute could not violate the Full Faith and Credit Clause of the Constitution.,1,1.0
"Before you want to start the study of a subject, figure out what you want to achieve.","As Eugene suggests, try to figure out what you want to achieve.",1,1.0
Is it possible for a match to get tie even after applying D/L method?,"Yes, it's possible for a match to get tie after applying the D/L method.",1,1.0
It is simply the number of balls bowled divided by the number of wickets taken.,Bowling strike rate is defined for a bowler as the average number of balls bowled per wicket taken.,1,1.0
"""It's a huge black eye,"" said publisher Arthur Ochs Sulzberger Jr., whose family has controlled the paper since 1896.","""It's a huge black eye,"" Arthur Sulzberger, the newspaper's publisher, said of the scandal.",1,1.0
He later learned that the incident was caused by the Concorde's sonic boom.,He later found out the alarming incident had been caused by Concorde's powerful sonic boom.,1,1.0
Executive recruiters say that finding a seasoned chief merchandising officer will perhaps be the trickiest of all hires because there is such a dearth of good ones.,Executive recruiters say that finding a seasoned chief merchandising officer perhaps will be the trickiest of all hires.,1,1.0
"The decades-long conflict has killed more than 10,000 people in the resource-rich province, most of them civilians.","More than 10,000 people, most of them civilians, have been killed in three decades of insurgency.",1,1.0
"Tom Kasmer, a 14-year-old from Belmont, N.C., got a word that sounded like ""zistee"" during yesterday's competition.","The 14-year-old national spelling finalist who attends school in Belmont, N.C., got a word that sounded like ""zistee"" during competition Wednesday.",1,1.0
The budget analysis comes as negotiations between the City Council and the Bloomberg administration heat up.,Budget negotiations between the mayor and the City Council are entering high gear.,1,1.0
"Also at increased risk are those whose immune systems suppressed by medications or by diseases such as cancer, diabetes and AIDS.",Also at increased risk are those with suppressed immune systems due to illness or medicines.,1,1.0
"""I feel that people that are sending these messages are infringing on my rights and everyone else's rights to use their computers,"" said McKechnie.","The people who are sending these messages are infringing on my rights and everyone else's rights to use your computer,"" McKechnie said.",1,1.0
"""Generally unwanted - and often pornographic or with fraudulent intent - spam is a nuisance and a distraction,"" Gates writes, warming us up for the punchline.","Generally unwantedâ€”and often pornographic or with fraudulent intent â€”spam is a nuisance and a distraction,"" Gates writes.",1,1.0
"Lord Falconer hailed the changes as ""a new beginning as far as the courts, Crown Prosecution Service and police are concerned"".","""It's a new beginning as far as the courts, Crown Prosecution Service and police are concerned, making the criminal justice system work better.""",1,1.0
"""I started crying and yelling at him, 'What do you mean, what are you saying, why did you lie to me?'""","Gulping for air, I started crying and yelling at him, 'What do you mean?",1,1.0
It was the third time in four years that wildfires forced the park to close.,"For the third time in four years wildfires closed Mesa Verde National Park, the countryâ€™s only park dedicated to ancient ruins.",1,1.0
North American markets finished mixed in directionless trading Monday as earnings season begins to slow and economic indicators move into the spotlight.,"North American markets grabbed early gains Monday morning, as earnings season begins to slow and economic indicators take the spotlight.",1,1.0
"""She was crying and scared,' said Isa Yasin, the owner of the store.","""She was crying and she was really scared,"" said Yasin.",1,1.0
"The dollar was at 116.92 yen against the yen , flat on the session, and at 1.2891 against the Swiss franc , also flat.","The dollar was at 116.78 yen JPY= , virtually flat on the session, and at 1.2871 against the Swiss franc CHF= , down 0.1 percent.",1,1.0
Germans account for more than 40 percent of foreign visitors coming to Italy.,Germans represent more than a quarter of all foreign visitors to Italy and 40 percent of hotel bookings.,1,1.0
"Also in Mosul, rebel gunmen on Friday assassinated a Sunni Muslim tribal leader who backed the coalition.","Near a mosque in the northern town of Mosul, rebel gunmen also assassinated a Sunni Muslim tribal leader who backed the coalition.",1,1.0
"Mr. Bush had sought to store his papers in his father's presidential library, where they would have stayed secret for a half-century.","In Texas, public watchdog groups opposed Mr. Bush's efforts to house his papers at his father's presidential library, where they would have remained secret for a half-century.",1,1.0
"This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.","IBM said the Rational products were also integrated with Rational PurifyPlus, which allows developers to work in Java, Visual C# and VisualBasic .Net.",1,1.0
"Another million barrels, bought by Spanish refiner Cepsa SA, was to be loaded onto a Spanish tanker, the Sandra Tapias.","A Spanish tanker, Sandra Tapias, was to be loaded with another million barrels, bought by Spanish refiner Cepsa SA, in the afternoon.",1,1.0
"After 9/11, Connolly said, agents spent thousands of hours investigating al-Bayoumi.",Connolly said FBI agents in San Diego and abroad spent thousands of hours investigating al-Bayoumi.,1,1.0
"Calvin Hollins Jr.'s attorney, Thomas Royce, has repeatedly said his client had no link with the company that owned and operated E2.","The lawyer for Hollins Jr., Thomas Royce, has said his client had no link to the company that owned and operated E2.",1,1.0
"""This decision is clearly incorrect,"" FTC Chairman Timothy Muris said in a written statement.","The decision is ""clearly incorrect,"" FTC Chairman Tim Muris said.",1,1.0
"Paul Themba Nyathi, an MDC spokesman, said the Avenues Clinic was being targeted because it was treating opposition supporters.",MDC spokesperson Paul Themba Nyathi said the Avenues Clinic was targeted because it was handling opposition supporters.,1,1.0
He claims it may seem unrealistic only because little effort has been devoted to the concept.,"""This proposal is modest compared with the space programme, and may seem unrealistic only because little effort has been devoted to it.",1,1.0
YES filed suit yesterday in the Supreme Court of New York County in Manhattan.,The suit was filed in the Supreme Court of New York County.,1,1.0
"He will be paid $395,000 per year, up from Atkinson's current salary of $361,400.","Dynes will be paid $395,000 a year; Atkinson's salary is $361,400.",1,1.0
"His daughter, Nina Axelrod, told The Associated Press that he died in his sleep, apparently of heart failure.","Axelrod died in his sleep of heart failure, said his daughter, Nina Axelrod.",1,1.0
"Deaths in rollover crashes accounted for 82 percent of the number of traffic deaths in 2002, the agency says.","Fatalities in rollover crashes accounted for 82 percent of the increase in 2002, NHTSA said.",1,1.0
Both papers are being published today in the New England Journal of Medicine.,The study appears today in the New England Journal of Medicine.,1,1.0
The WHO experts didn't say how many cases in Hebei were in rural areas.,"Hebei has reported 191 cases and eight deaths, though the WHO experts did not say how many were in rural areas.",1,1.0
"""I do not wish to be present during this witness,"" he told Stanislaus County Superior Court Judge Al Girolami.","""Yes, I do not wish to be present during this witness,"" Peterson, 31, calmly told the judge as he was returned to his cell.",1,1.0
The report shows that drugs sold in Canadian pharmacies are manufactured in facilities approved by Health Canada - the FDA's counterpart in Canada.,"The report shows that drugs sold in Canadian pharmacies are manufactured in facilities approved by Health Canada, which serves a similar role as the FDA for the Canadian government.",1,1.0
"Under the U.S. Constitution, the other chamber of Congress, the House of Representatives, does not vote on foreign alliances.","The U.S. House of Representatives, the other chamber of Congress, does not vote on treaties.",1,1.0
"Lee Janzen, who was tied atop the leaderboard with five holes left, finished with a 68 and tied for sixth.","Lee Janzen, tied atop the leaderboard with five holes left, finished with a 68 to tie for sixth with Bob Crane (67) at 269.",1,1.0
"Tenet has been under scrutiny since November, when former Chief Executive Jeffrey Barbakow said the company used aggressive pricing to trigger higher payments for the sickest Medicare patients.","In November, Jeffrey Brabakow, the chief executive at the time, said the company used aggressive pricing to get higher payments for the sickest Medicare patients.",1,1.0
"The bank also said its offer was subject to the agreement of Drax's senior banks, senior bond holders and hedging banks by 30 September 2003.","The offer is also subject to Goldman signing an agreement with Drax's senior banks, senior bond holders and hedging banks by Sept. 30, it said.",1,1.0
"The world's largest software company said it recognized the difficulty the multiple patches posed for companies, and set out to make it easier for them to apply the updates.",The world's largest software company said it recognized the difficulty the multiple patches posed for companies trying to apply them.,1,1.0
"But price declines have remained below 30 percent, year over year, for the last two quarters, said IDC analyst John McArthur.",McArthur told internetnews.com price declines have moderated and remained below 30 percent from the previous year for the last two quarters.,1,1.0
"Appellate courts across the country have issued differing rulings on the issue, allowing public displays of the Ten Commandments in some cases and banning them in others.","Lower courts have splintered on the issue, allowing depictions of the Ten Commandments in some instances and not in others.",1,1.0
The effort is the Bush administration's latest effort to expand the role of religious organizations in government services.,July 10 - The Bush administration's latest effort to expand the role of religious organizations in government services enlists church-based youth groups in anti-drug programs.,1,1.0
"The shares represent more than half the 115.9 million shares Turner held at the end of April, according to Bloomberg data.",The sale represents about 52 per cent of the 115.9 million shares Mr Turner held at the end of April.,1,1.0
"Sirius carries National Public Radio, although it doesn't include popular shows such as ""All Things Considered"" and ""Morning Edition.""","Sirius recently began carrying National Public Radio, a deal pooh-poohed by XM because it doesn't include popular shows like All Things Considered and Morning Edition.",1,1.0
"Actor Noah Wyle, who has played Dr. John Carter since the shows inception in 1994, extended his contract with the show through the 2004-2005 season.","Noah Wyle, who has played Dr. John Carter since the series launched in 1994, has inked a one-year extension to his deal with producer Warner Bros. TV.",1,1.0
The WHO says the latest case does not fit its profile of SARS and is not a public health concern.,"The WHO has said the Singapore case did not fit its profile of SARS and was ""not an international public health concern.""",1,1.0
U.S. troops killed nearly two dozen suspected Taliban militants after coming under fire in southern Afghanistan in the latest in a series of such attacks.,"U.S. soldiers killed about two dozen suspected Taliban militants in southern Afghanistan after their convoy came under attack, the military said Sunday.",1,1.0
"It got up on his personal radar screen this past week, I've given him my pitch and he was quite supportive,"" he said.","""It got up on his personal radar screen in the past week, and I had to get my pitch.",1,1.0
"A former candidate for governor of New York, he styled himself an advocate of better corporate governance.","Mr. McCall, who ran unsuccessfully for governor of New York in 2002, styled himself an advocate of better corporate governance.",1,1.0
"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations, U.S. officials said on Thursday.",A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations.,1,1.0
Yeager said the suspect in the Target attack showed tendencies of being a prior offender.,"Yeager said the incident appeared to be isolated, but the suspect showed tendencies of being a prior offender.",1,1.0
The 30-year bond US30YT=RR dipped 14/32 for a yield of 4.26 percent from 4.23 percent.,"The 30-year bond US30YT=RR lost 16/32, taking its yield to 4.20 percent from 4.18 percent.",1,1.0
"""If that ain't a Democrat, I must be at the wrong meeting,"" he said.","And if that ain't a Democrat, then I must be in the wrong meeting,"" he said to thunderous applause from his supporters.",1,1.0
The Embraer jets are scheduled to be delivered by September 2006.,The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006.,1,1.0
"""I can say I am being forced into exile by the world superpower,"" he said.","""I am being forced into exile by the world's superpower,"" Taylor said in an address videotaped at his home.",1,1.0
"Investigators have meticulously looked into virtually every aspect of Campbell's personal and financial affairs, Campbell has acknowledged.","Investigators continue to probe virtually every aspect of Campbell's personal and financial affairs, the former mayor has said.",1,1.0
Revenue rose to $616.5 million from $610.6 million a year earlier.,"Revenue was up a tad, from $610.6 million to $616.5 million.",1,1.0
"The male eagle was found by a zookeeper early Thursday, suffering from severe puncture wounds in his abdomen.","The 21-year-old eagle, found by a zookeeper early Thursday, had severe puncture wounds to his abdomen and back, spokeswoman Julie Mason said.",1,1.0
"Just five months ago, Dean committed to accepting taxpayer money and vowed to attack any Democrat who didnt.","Just five months ago, Dean committed to accepting taxpayer money and the spending limits that come with it and vowed to attack any Democrat who didnt.",1,1.0
Artists are worried the plan would harm those who need help most - performers who have a difficult time lining up shows.,The artists say the plan will harm French culture and punish those who need help most - performers who have a hard time lining up work.,1,1.0
"A federal appeals court ruled Tuesday that the government was free to withhold the names of more than 700 people detained in the aftermath of Sept. 11, 2001.","A federal appeals court ruled Tuesday that the U.S. government can withhold the names of people detained as part of the September 11 investigation, reversing a lower court decision.",1,1.0
"The time was about 4 a.m. on March 18, just hours before the first pinpoint missiles rained down on the capital.","The seizure occurred at 4am on March 18, just hours before the first American air assault.",1,1.0
"EU ministers were invited to the conference but canceled because the union is closing talks on agricultural reform, said Gerry Kiely, a EU agriculture representative in Washington.","Gerry Kiely, a EU agriculture representative in Washington, said EU ministers were invited but canceled because the union is closing talks on agricultural reform.",1,1.0
"But in the end, all the worm did was visit a pornography site, said Vincent Weafer, a security director with Symantec Security Response in California.","But Vincent Weafer, security director with Symantec Security Response, said all the virus did was visit a pornography site.",1,1.0
The veteran Malyasian diplomat met Suu Kyi Wednesday at the lakeside home in Yangon where she is under house arrest.,"Razali Ismail met for 90 minutes with Suu Kyi, a 1991 winner of the Nobel Peace Prize, at her lakeside home, where she is under house arrest.",1,1.0
"At first blush, then, the distinction drawn by the creators of the do-not-call registry would seem to draw the line in precisely the right place.","At first blush, then, the creators of the registry would seem to have drawn the line between exempted and banned calls in the right place.",1,1.0
Ukrainian President Leonid Kuchma today cut short a visit to Latin America as a bitter border wrangle between Ukraine and Russia deteriorates further.,The dispute has led Ukrainian president Leonid Kuchma to cut short a state visit to Latin America.,1,1.0
Chechen officials working for the Moscow-backed government are a frequent target for rebels and tension is running high ahead of next Sunday's presidential election in war-torn Chechnya.,"Officials in Chechnya's Moscow-backed government are a frequent target for rebels, and tension is running high ahead of Sunday's presidential election in the war-ravaged region.",1,1.0
"About 25 governments have signed in the last four months, about half of those in the last three weeks.","According to the State Department list, about 25 nations have signed bilateral agreements in the past four months, about half in the past three weeks.",1,1.0
"The company will launch 800 hot spots, or ""Wi-Fi Zones,"" later this summer, and plans to have more than 2,100 by the end of the year.","The service will launch later this summer with 800 locations, and Sprint plans 2,100 locations by the end of the year.",1,1.0
